mu_bp_per_gen,p_HGT_thyA_per_div,p_HGT_dapA_per_div,V_reactor_L,rho_max_per_L,g_per_day,T_days,L_target_bp,N_total_cells,G_total_generations,p_combined_per_div,P_escape_30d
2.104612e-09,2.898534e-11,2.598703e-11,5.271064e+01,1.921957e+08,3.517834e+00,1.679730e+01,5.225976e+02,1.013076e+10,5.909010e+01,8.284653e-28,4.959423e-16
4.770660e-09,3.031333e-11,2.199419e-14,5.890997e+03,1.221488e+08,3.751677e+00,4.270647e+01,7.647825e+02,7.195779e+11,1.602209e+02,2.432528e-30,2.804496e-16
1.791994e-09,7.264719e-14,3.220206e-11,1.992258e+03,3.034931e+09,4.940932e+00,1.654928e+01,4.741269e+02,6.046364e+12,8.176885e+01,1.987621e-30,9.826883e-16
1.946763e-10,3.664401e-12,2.350950e-14,9.323424e+02,3.546679e+09,4.989137e+00,2.989365e+01,3.248317e+02,3.306719e+12,1.491435e+02,5.447757e-33,2.686701e-18
1.678207e-09,5.820166e-12,5.554571e-14,5.410927e+03,3.816371e+09,4.641293e+00,2.708770e+01,3.354893e+02,2.065011e+13,1.257220e+02,1.820163e-31,4.725454e-16
3.612230e-10,1.819984e-11,3.167661e-13,1.738786e+01,3.972648e+08,7.979656e+00,3.346801e+01,3.756512e+02,6.907587e+09,2.670632e+02,7.822876e-31,1.443135e-18
4.406000e-09,1.109715e-13,1.683448e-12,3.542067e+01,1.915125e+08,6.115599e+00,3.433580e+01,3.109242e+02,6.783503e+09,2.099839e+02,2.559234e-31,3.645442e-19
5.362603e-09,9.519135e-13,3.585274e-13,1.154053e+01,4.203006e+09,2.298224e+00,4.440020e+01,5.282307e+02,4.850491e+10,1.020416e+02,9.667608e-31,4.785002e-18
6.352926e-10,4.421305e-12,9.945554e-11,6.512995e+01,7.661959e+08,6.557891e+00,2.453621e+01,3.400566e+02,4.990230e+10,1.609058e+02,9.499582e-29,7.627754e-16
2.089983e-09,2.704146e-13,8.075884e-11,1.291021e+03,1.996518e+08,5.467702e+00,3.435085e+01,9.852471e+02,2.577547e+11,1.878202e+02,4.496846e-29,2.176993e-15
